ANIO,NOMBRE_LOCALIDAD,total_comparendos,comparendos_seguridad,comparendos_movilidad
2020,ANTONIO NARI?O,6974,1497.0,1152.0
2020,BARRIOS UNIDOS,15417,2903.0,2437.0
2020,BOSA,51920,12912.0,948.0
2020,CANDELARIA,7960,3388.0,275.0
2020,CHAPINERO,18376,3340.0,3556.0
2020,CIUDAD BOLIVAR,42781,13095.0,144.0
2020,ENGATIVA,22701,5311.0,4591.0
2020,FONTIBON,16910,3715.0,2136.0
2020,KENNEDY,88885,16550.0,5411.0
2020,LOS MARTIRES,24246,4584.0,3531.0
2020,PUENTE ARANDA,14376,1938.0,3275.0
2020,RAFAEL URIBE URIBE,26097,10071.0,3374.0
2020,SAN CRISTOBAL,20329,4690.0,408.0
2020,SANTA FE,52135,15984.0,3834.0
2020,SIN LOCALIZACION,2272,504.0,1.0
2020,SUBA,50288,13097.0,5901.0
2020,TEUSAQUILLO,17808,4124.0,3455.0
2020,TUNJUELITO,42890,8626.0,5359.0
2020,USAQUEN,19248,5120.0,3508.0
2020,USME,25198,7966.0,1820.0
2021,ANTONIO NARI?O,6442,2620.0,1719.0
2021,BARRIOS UNIDOS,18153,6524.0,6351.0
2021,BOSA,36329,19125.0,1706.0
2021,CANDELARIA,9171,5102.0,1018.0
2021,CHAPINERO,21944,5871.0,5873.0
2021,CIUDAD BOLIVAR,13088,8513.0,385.0
2021,ENGATIVA,21226,8958.0,4895.0
2021,FONTIBON,16959,6412.0,1187.0
2021,KENNEDY,60268,29817.0,5826.0
2021,LOS MARTIRES,27014,9391.0,7333.0
2021,PUENTE ARANDA,14740,5429.0,4338.0
2021,RAFAEL URIBE URIBE,29281,17314.0,4092.0
2021,SAN CRISTOBAL,15769,7996.0,1896.0
2021,SANTA FE,48298,16340.0,9939.0
2021,SIN LOCALIZACION,3,3.0,0.0
2021,SUBA,48116,16535.0,13108.0
2021,TEUSAQUILLO,14878,4762.0,4909.0
2021,TUNJUELITO,27614,13820.0,5130.0
2021,USAQUEN,20887,8500.0,5995.0
2021,USME,22508,13938.0,2148.0
2022,ANTONIO NARI?O,7836,3748.0,1666.0
2022,BARRIOS UNIDOS,15389,5603.0,5245.0
2022,BOSA,42128,18327.0,2403.0
2022,CANDELARIA,7612,3170.0,378.0
2022,CHAPINERO,17144,4184.0,5029.0
2022,CIUDAD BOLIVAR,19719,14566.0,451.0
2022,ENGATIVA,24529,10935.0,6424.0
2022,FONTIBON,16437,6861.0,1377.0
2022,KENNEDY,42282,21342.0,4596.0
2022,LOS MARTIRES,24392,9436.0,8443.0
2022,PUENTE ARANDA,11701,3395.0,4813.0
2022,RAFAEL URIBE URIBE,31124,15406.0,5204.0
2022,SAN CRISTOBAL,13874,8860.0,1337.0
2022,SANTA FE,28586,12196.0,7762.0
2022,SIN LOCALIZACION,6,2.0,0.0
2022,SUBA,42421,13940.0,11541.0
2022,SUMAPAZ,2,0.0,0.0
2022,TEUSAQUILLO,11112,3159.0,4293.0
2022,TUNJUELITO,14859,8042.0,2647.0
2022,USAQUEN,13805,4819.0,4849.0
2022,USME,17899,10240.0,2641.0
2023,ANTONIO NARI?O,10131,3606.0,3729.0
2023,BARRIOS UNIDOS,23697,3225.0,16921.0
2023,BOSA,32230,11190.0,7014.0
2023,CANDELARIA,8456,1528.0,723.0
2023,CHAPINERO,22675,4457.0,7461.0
2023,CIUDAD BOLIVAR,23435,14554.0,1609.0
2023,ENGATIVA,38060,14171.0,14920.0
2023,FONTIBON,15323,6677.0,1891.0
2023,KENNEDY,52240,24770.0,10071.0
2023,LOS MARTIRES,30959,12611.0,11092.0
2023,PUENTE ARANDA,14979,2778.0,9683.0
2023,RAFAEL URIBE URIBE,29513,12818.0,8625.0
2023,SAN CRISTOBAL,10872,4919.0,2660.0
2023,SANTA FE,34009,10888.0,12005.0
2023,SUBA,46135,11029.0,22684.0
2023,TEUSAQUILLO,18771,4085.0,10618.0
2023,TUNJUELITO,11976,4560.0,4519.0
2023,USAQUEN,20956,5782.0,8399.0
2023,USME,19853,10408.0,5775.0
2024,ANTONIO NARI?O,12101,3155.0,7410.0
2024,BARRIOS UNIDOS,24367,4584.0,17728.0
2024,BOSA,29229,16358.0,4920.0
2024,CANDELARIA,5141,2080.0,892.0
2024,CHAPINERO,23387,4718.0,13385.0
2024,CIUDAD BOLIVAR,16544,10709.0,1484.0
2024,ENGATIVA,29517,9571.0,15857.0
2024,FONTIBON,7599,3923.0,1034.0
2024,KENNEDY,46083,19906.0,16626.0
2024,LOS MARTIRES,30675,10732.0,17349.0
2024,PUENTE ARANDA,20763,2773.0,16713.0
2024,RAFAEL URIBE URIBE,24020,8693.0,11905.0
2024,SAN CRISTOBAL,11918,5163.0,4968.0
2024,SANTA FE,40422,11814.0,25012.0
2024,SUBA,41208,10125.0,24002.0
2024,TEUSAQUILLO,19614,4139.0,12971.0
2024,TUNJUELITO,16128,5885.0,6353.0
2024,USAQUEN,17861,4073.0,10448.0
2024,USME,15372,7711.0,6023.0
2025,ANTONIO NARI?O,14022,4663.0,6175.0
2025,BARRIOS UNIDOS,23006,6290.0,12548.0
2025,BOSA,41684,19077.0,8142.0
2025,CANDELARIA,10649,4789.0,1795.0
2025,CHAPINERO,27652,7401.0,7400.0
2025,CIUDAD BOLIVAR,26074,12528.0,2306.0
2025,ENGATIVA,38329,14568.0,14035.0
2025,FONTIBON,10902,4331.0,347.0
2025,KENNEDY,63369,28160.0,14943.0
2025,LOS MARTIRES,35946,12920.0,15833.0
2025,PUENTE ARANDA,18151,4067.0,10032.0
2025,RAFAEL URIBE URIBE,26186,11607.0,7073.0
2025,SAN CRISTOBAL,20369,8960.0,6633.0
2025,SANTA FE,46177,17408.0,19606.0
2025,SIN LOCALIZACION,1,0.0,0.0
2025,SUBA,54097,13493.0,23539.0
2025,SUMAPAZ,1,1.0,0.0
2025,TEUSAQUILLO,18641,6008.0,7875.0
2025,TUNJUELITO,16398,6294.0,3928.0
2025,USAQUEN,23514,5255.0,8995.0
2025,USME,24201,14299.0,5795.0
